           ,Subject,Grade,             ,Strand,              ,    ,               ,Grade Level Standard,      ,       ,        
SS11,Social Sciences,First Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",1.3.,Identify American songs and symbols.,,,
SS11,Social Sciences,First Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",1.4.,Identify people and events observed in national celebrations and holidays.,,,
SS11,Social Sciences,First Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",1.5.,Use terms related to time to sequentially order events that have occurred.,,,
SS11,Social Sciences,First Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",1.6.,Describe how clocks and calendars are used to measure time.,,,
SS11,Social Sciences,First Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",1.7.,Develop and analyze a simple timeline of important events.,,,
SS11,Social Sciences,First Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",1.8.,Identify and compare historical fact and fiction in folktales and legends.,,,
SS11,Social Sciences,First Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,1.9.,Describe ways people celebrate their diverse cultural heritages in the community.,,,
SS11,Social Sciences,First Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,1.10.,"Locate and identify important places in the community (school, library, fire department, etc.).",,,
SS11,Social Sciences,First Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,1.11.,Explain how seasonal changes influence activities in school and community.,,,
SS11,Social Sciences,First Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,1.12.,Give examples of local natural resources and describe how people use them.,,,
SS11,Social Sciences,First Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",1.13.,Describe the responsibilities of leaders.,,,
SS11,Social Sciences,First Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",1.14.,Describe the responsibilities of team members.,,,
SS11,Social Sciences,First Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",1.15.,Demonstrate the ability to be both a leader and team member.,,,
SS11,Social Sciences,First Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",1.16.,Identify the United States and Oregon flags and other symbols.,,,
SS11,Social Sciences,First Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",1.17.,Identify and describe significant holidays.,,,
SS11,Social Sciences,First Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,1.18.,Explain how personal saving and spending can be used to meet short-term financial goals.,,,
SS11,Social Sciences,First Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,1.19.,"Identify sources of income (e.g., gifts, borrowing, allowance, work wages).",,,
SS11,Social Sciences,First Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",1.20.,Identify cause-and-effect relationships.,,,
SS11,Social Sciences,First Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",1.21.,Identify an issue or problem that can be studied.,,,
SS11,Social Sciences,Second Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",2.1.,Identify individuals who had an impact on the local community and explain how people and events of the past influence the present.,,,
SS11,Social Sciences,Second Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",2.2.,Identify when the local community was established and identify its founders and early settlers and recognizing continuity and change in local and regional communities over time.,,,
SS11,Social Sciences,Second Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",2.3.,"Identify and describe community celebrations, symbols and traditions and explain why they are important to some people.",,,
SS11,Social Sciences,Second Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",2.4.,Differentiate between events that happened in the recent and distant past.,,,
SS11,Social Sciences,Second Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",2.5.,Develop a timeline of important events in the history of the community.,,,
SS11,Social Sciences,Second Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",2.6.,"Identify important school days, holidays, and community events on a calendar.",,,
SS11,Social Sciences,Second Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,2.7.,Use basic information on maps and other geographic tools to locate and identify physical and human features of the community.,,,
SS11,Social Sciences,Second Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,2.8.,Identify relative location of school and community in the state and nation and the world.,,,
SS11,Social Sciences,Second Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,2.9.,Describe physical and human characteristics of the community.,,,
SS11,Social Sciences,Second Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,2.10.,"Use and apply cardinal directions; locate and identify local physical features on maps (e.g., oceans, cities, continents).",,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.11.,Participate in rule setting and monitoring activities considering multiple points of view.,,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.12.,Identify services provided by local government.,,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.13.,"Evaluate how individuals, groups, and communities manage conflict and promote justice.",,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.14.,Give examples of and identify appropriate and inappropriate use of power and the consequences.,,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.15.,Identify local leaders and their functions.,,,
SS11,Social Sciences,Second Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",2.16.,Identify ways students can have an impact in their local community.,,,
SS11,Social Sciences,Second Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,2.17.,Explain various methods of saving and how saving can help reach financial goals.,,,
SS11,Social Sciences,Second Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,2.18.,Identify local businesses and the goods and services they produce.,,,
SS11,Social Sciences,Second Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",2.19.,Describe the connection between two or more current or historical events.,,,
SS11,Social Sciences,Second Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",2.20.,"Compare and contrast past and present situations, people, and events in neighborhoods and communities.",,,
SS11,Social Sciences,Second Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",2.21.,Evaluate information relating to an issue or problem.,,,
SS11,Social Sciences,Third Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",3.1.,"Describe how significant people, events and developments have shaped their own community and region.",,,
SS11,Social Sciences,Third Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",3.2.,Compare and contrast the history of their own community to other communities in the region.,,,
SS11,Social Sciences,Third Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",3.3.,Apply research skills and technologies to gather information about the past in the region.,,,
SS11,Social Sciences,Third Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",3.4.,Describe local communities and regions past and present.,,,
SS11,Social Sciences,Third Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",3.5.,Explain how some sources are more useful for answering historical questions than others.,,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.6.,"Identify hemispheres, continents and oceans using globes and maps.",,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.7.,"Use a simple grid system, symbols, and other information to locate the physical and political features of places on maps and globes.",,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.8.,"Identify links of land, regions, river systems, interstate highways between Oregon and other states.",,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.9.,Describe physical and human characteristics of tribal regions in Oregon and North America.,,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.10.,Identify and compare physical features of Oregon and other Northwestern states.,,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.11.,"Explain the influence of humans (traders, immigrants, indigenous, current residents) on Oregon’s and the Northwest’s physical systems.",,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.12.,Identify and analyze Oregon’s natural resources and describe how people in Oregon and other parts of the world use them.,,,
SS11,Social Sciences,Third Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,3.13.,Identify how people have adapted to and have changed the physical geography of the community.,,,
SS11,Social Sciences,Third Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",3.14.,Describe how different levels of government provide services and protect citizens.,,,
SS11,Social Sciences,Third Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",3.15.,Describe the responsibilities of citizens in their community and state.,,,
SS11,Social Sciences,Third Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,3.16.,Describe the relationship between producers and consumers.,,,
SS11,Social Sciences,Third Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,3.17.,"Explain the issue of scarcity to personal, community, regional, and world resources.",,,
SS11,Social Sciences,Third Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",3.18.,"Use a variety of historical sources including artifacts, pictures and documents to identify factual evidence.",,,
SS11,Social Sciences,Third Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",3.19.,"Identify and compare different ways of looking at an event, issue, or problem.",,,
SS11,Social Sciences,Third Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",3.20.,"Identify how people or other living things might be affected by an event, issue, or problem.",,,
SS11,Social Sciences,Fourth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",4.1.,"Identify and describe historic Native American Indian groups that lived in Oregon prior to contact with Europeans and at the time of early European exploration, including ways these groups adapted to and interacted with the physical environment.",,,
SS11,Social Sciences,Fourth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",4.2.,Explain how key individuals and events influenced the early growth and changes in Oregon.,,,
SS11,Social Sciences,Fourth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",4.3.,"Give examples of changes in Oregon’s agricultural, industrial, political, and business development over time.",,,
SS11,Social Sciences,Fourth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",4.4.,Identify the 9 federally recognized Oregon tribes and their aboriginal boundaries.,,,
SS11,Social Sciences,Fourth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",4.5.,Distinguish between fact and fiction in historical accounts by comparing documentary sources on historical figures and events with fictional characters and events in stories.,,,
SS11,Social Sciences,Fourth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",4.6.,"Create and evaluate timelines that show relationships among people, events, and movements in Oregon history.",,,
SS11,Social Sciences,Fourth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",4.7.,Use primary and secondary sources to create or describe a narrative about events in Oregon history.,,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.8.,"Use geographical tools (e.g., maps, GIS, Google Earth) to identify absolute and relative locations and physical characteristics of places in Oregon.",,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.9.,"Explain the influence of Oregon and the Northwest’s physical systems on humans, including Native Americans.",,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.10.,"Compare and contrast varying patterns of settlements in Oregon, past and present, and consider future trends.",,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.11.,"Identify conflicts involving use of land, natural resources, economy, and competition for scarce resources, different political views, boundary disputes, and cultural differences within Oregon and between different geographical areas.",,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.12.,Explain how people in Oregon have modified their environment and how the environment has influenced people’s lives.,,,
SS11,Social Sciences,Fourth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,4.13.,"Describe how technological developments, societal decisions, and personal practices influence Oregon’s sustainability (dams, wind turbines, etc.).",,,
SS11,Social Sciences,Fourth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",4.14.,Explain the organization and functions of Oregon government.,,,
SS11,Social Sciences,Fourth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",4.15.,"Describe and evaluate how historical Oregon governments affected groups within the state (citizens, foreigners, women, class systems, minority groups, tribes).",,,
SS11,Social Sciences,Fourth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",4.16.,Explain the process of Oregon statehood.,,,
SS11,Social Sciences,Fourth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,4.17.,Analyze different buying choices and their opportunity costs while demonstrating the difference between needs and wants.,,,
SS11,Social Sciences,Fourth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,4.18.,Identify key industries of Oregon.,,,
SS11,Social Sciences,Fourth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",4.19.,Compare eyewitness and secondhand accounts of an event.,,,
SS11,Social Sciences,Fourth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",4.20.,Describe the sequence of events in given current and historical accounts.,,,
SS11,Social Sciences,Fourth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",4.21.,Analyze historical accounts related to Oregon to understand cause-and-effect.,,,
SS11,Social Sciences,Fifth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",5.1.,Identify and compare historical Native American groups and settlements that existed in North America prior to contact with European exploration in the late fifteenth and sixteenth centuries.,,,
SS11,Social Sciences,Fifth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",5.2.,"Locate and examine accounts of early Spanish, French and British explorations of North America noting major land and water routes, reasons for exploration and the location and impact of exploration and settlement.",,,
SS11,Social Sciences,Fifth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",5.3.,"Explain the religious, political, and economic reasons for movement of people from Europe to the Americas and describe instances of both cooperation and conflict between Native American Indians and European settlers.",,,
SS11,Social Sciences,Fifth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",5.4.,"Identify and locate the 13 British colonies that became the United States and identify the early founders, describe daily life (political, social, and economic organization and structure), and describe early colonial resistance to British rule.",,,
SS11,Social Sciences,Fifth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",5.5.,"Create and interpret timelines showing major people, events and developments in the early history of the United States.",,,
SS11,Social Sciences,Fifth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",5.6.,"Use primary and secondary sources to formulate historical questions, to examine an historical account about an issue of the time, and to reconstruct the literal meaning of the passages by identifying who was involved, what happened, where it happened, and what events led to these developments and what consequences or outcomes followed.",,,
SS11,Social Sciences,Fifth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,5.7.,"Identify, locate, and describe places and regions in the United States.",,,
SS11,Social Sciences,Fifth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,5.8.,Use various types of maps to describe and explain the United States.,,,
SS11,Social Sciences,Fifth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,5.9.,"Explain migration, trade, and cultural patterns in the United States.",,,
SS11,Social Sciences,Fifth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,5.10.,"Describe how physical and political features influence events, movements, and adaptation to the environment.",,,
SS11,Social Sciences,Fifth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,5.11.,"Describe how technological developments, societal decisions, and personal practices influence sustainability in the United States.",,,
SS11,Social Sciences,Fifth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",5.12.,"Analyze how cooperation and conflict among people contribute to political, economic and social events and situations in the United States.",,,
SS11,Social Sciences,Fifth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",5.13.,"Describe and summarize how colonial and new states’ governments affected groups within their population (e.g., citizens, slaves, foreigners, nobles, women, class systems, tribes).",,,
SS11,Social Sciences,Fifth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",5.14.,"Compare and contrast tribal forms of government, British monarchy, and early American colonial governments.",,,
SS11,Social Sciences,Fifth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",5.15.,Identify principles of U.S. democracy found in the U.S. Constitution and Bill of Rights.,,,
SS11,Social Sciences,Fifth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",5.16.,Describe how national government affects local and state government.,,,
SS11,Social Sciences,Fifth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,5.17.,"Explain ways trade can be restricted or encouraged (e.g., boycott) and how these affect producers and consumers.",,,
SS11,Social Sciences,Fifth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,5.18.,Explain the purpose of taxes and give examples from U.S. history of their use.,,,
SS11,Social Sciences,Fifth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",5.19.,Analyze two accounts of the same event or topic and describe important similarities and differences.,,,
SS11,Social Sciences,Fifth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",5.20.,"Gather, use and document information from multiple sources (e.g., print, electronic, human, primary, secondary) to examine an event, issue, or problem through inquiry and research.",,,
SS11,Social Sciences,Fifth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",5.21.,"Identify and study two or more points of view of an event, issue or problem.",,,
SS11,Social Sciences,Fifth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",5.22.,"Identify characteristics of an event, issue, or problem, suggesting possible causes and results.",,,
SS11,Social Sciences,Fifth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",5.23.,"Propose a response or solution to an issue or problem and support why it makes sense, using support from research.",,,
SS11,Social Sciences,Sixth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",6.1.,"Determine and explain the historical context of key people, cultures, products, events, and ideas over time including the examination of different perspectives from people involved including, but not limited to, Aztec, Maya, Inca, Inuit, early Native American cultures of North America, major explorers, colonizers of countries in the Western Hemisphere, and the Columbian Exchange.",,,
SS11,Social Sciences,Sixth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",6.2.,"Identify examples of the social, political, cultural, and economic development in key areas of the Western Hemisphere.",,,
SS11,Social Sciences,Sixth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",6.3.,"Describe the rise; the political, technological, and cultural achievements; and the decline of ancient civilizations in Europe, Asia, and Africa prior to the Roman Empire.",,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.4.,Explain how different cultures in the Western Hemisphere record history.,,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.5.,Critique information to determine if it is sufficient to answer historical questions.,,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.6.,"Create and compare timelines that identify major people, events and developments in the history of individual civilizations and/or countries that comprise the Americas.",,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.7.,"Define and use the terms “decade,” “century,” and “millennium,” and compare alternative ways that historical periods and eras are designated by identifying the organizing principles upon which each is based.",,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.8.,"Analyze cause-and-effect relationships, including the importance of individuals, ideas, human interests and beliefs.",,,
