           ,Subject,Grade,             ,Diciplinary Core Idea,              ,Performance Expectations,               ,     ,      ,       ,        
SC14,Science (2014),Third Grade,3-PS2,Motion and Stability: Forces and Interactions,3-PS2-3,Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.,,"Assessment Boundary: Assessment is limited to forces produced by objects that can be manipulated by students, and electrical interactions are limited to static electricity.",,,
SC14,Science (2014),Third Grade,3-PS2,Motion and Stability: Forces and Interactions,3-PS2-4,Define a simple design problem that can be solved by applying scientific ideas about magnets.,,Clarification Statement: Examples of problems could include constructing a latch to keep a door shut and creating a device to keep two moving objects from touching each other.,,,
SC14,Science (2014),Third Grade,3-LS1,From Molecules to Organisms: Structures and Processes,3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.",,Clarification Statement: Changes organisms go through during their life form a pattern.,,,
SC14,Science (2014),Third Grade,3-LS1,From Molecules to Organisms: Structures and Processes,3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.",,Assessment Boundary: Assessment of plant life cycles is limited to those of flowering plants. Assessment does not include details of human reproduction.,,,
SC14,Science (2014),Third Grade,3-LS2,"Ecosystems: Interactions, Energy, and Dynamics",3-LS2-1,Construct an argument that some animals form groups that help members survive.,,,,,
SC14,Science (2014),Third Grade,3-LS3,Heredity: Inheritance and Variation of Traits,3-LS3-1,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.,,"Clarification Statement: Patterns are the similarities and differences in traits shared between offspring and their parents, or among siblings. Emphasis is on organisms other than humans.",,,
SC14,Science (2014),Third Grade,3-LS3,Heredity: Inheritance and Variation of Traits,3-LS3-1,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.,,Assessment Boundary: Assessment does not include genetic mechanisms of inheritance and prediction of traits. Assessment is limited to non-human examples.,,,
SC14,Science (2014),Third Grade,3-LS3,Heredity: Inheritance and Variation of Traits,3-LS3-2,Use evidence to support the explanation that traits can be influenced by the environment.,,"Clarification Statement: Examples of the environment affecting a trait could include normally tall plants grown with insufficient water are stunted; and, a pet dog that is given too much food and little exercise may become overweight.",,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-1,Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.,,"Clarification Statement: Examples of data could include type, size, and distributions of fossil organisms. Examples of fossils and environments could include marine fossils found on dry land, tropical plant fossils found in Arctic areas, and fossils of extinct organisms.",,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-1,Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.,,Assessment Boundary: Assessment does not include identification of specific fossils or present plants and animals. Assessment is limited to major fossil types and relative ages.,,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-2,"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing.",,"Clarification Statement: Examples of cause and effect relationships could be plants that have larger thorns than other plants may be less likely to be eaten by predators; and, animals that have better camouflage coloration than other animals may be more likely to survive and therefore more likely to leave offspring.",,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-3,"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all.",,Clarification Statement: Examples of evidence could include needs and characteristics of the organisms and habitats involved. The organisms and their habitat make up a system in which the parts depend on each other.,,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-4,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.,,"Clarification Statement: Examples of environmental changes could include changes in land characteristics, water distribution, temperature, food, and other organisms.",,,
SC14,Science (2014),Third Grade,3-LS4,Biological Evolution: Unity and Diversity,3-LS4-4,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.,,Assessment Boundary: Assessment is limited to a single environmental change. Assessment does not include the greenhouse effect or climate change.,,,
SC14,Science (2014),Third Grade,3-ESS2,Earth's Systems,3-ESS2-1,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.,,"Clarification Statement: Examples of data could include average temperature, precipitation, and wind direction.",,,
SC14,Science (2014),Third Grade,3-ESS2,Earth's Systems,3-ESS2-1,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.,,Assessment Boundary: Assessment of graphical displays is limited to pictographs and bar graphs. Assessment does not include climate change.,,,
SC14,Science (2014),Third Grade,3-ESS2,Earth's Systems,3-ESS2-2,Obtain and combine information to describe climates in different regions of the world.,,,,,
SC14,Science (2014),Third Grade,3-ESS3,Earth and Human Activity,3-ESS3-1,Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.,,"Clarification Statement: Examples of design solutions to weather-related hazards could include barriers to prevent flooding, wind resistant roofs, and lightning rods.",,,
SC14,Science (2014),Third Grade,3-5-ETS1,Engineering Design,3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost.",,,,,
SC14,Science (2014),Third Grade,3-5-ETS1,Engineering Design,3-5-ETS1-2,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.,,,,,
SC14,Science (2014),Third Grade,3-5-ETS1,Engineering Design,3-5-ETS1-3,Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.,,,,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-1,Use evidence to construct an explanation relating the speed of an object to the energy of that object.,,Assessment Boundary: Assessment does not include quantitative measures of changes in the speed of an object or on any precise or quantitative definition of energy.,,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.",,Assessment Boundary: Assessment does not include quantitative measurements of energy.,,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-3,Ask questions and predict outcomes about the changes in energy that occur when objects collide.,,"Clarification Statement: Emphasis is on the change in the energy due to the change in speed, not on the forces, as objects interact.",,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-3,Ask questions and predict outcomes about the changes in energy that occur when objects collide.,,Assessment Boundary: Assessment does not include quantitative measurements of energy.,,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-4,"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another.",,"Clarification Statement: Examples of devices could include electric circuits that convert electrical energy into motion energy of a vehicle, light, or sound; and, a passive solar heater that converts light into heat. Examples of constraints could include the materials, cost, or time to design the device.",,,
SC14,Science (2014),Fourth Grade,4-PS3,Energy,4-PS3-4,"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another.",,Assessment Boundary: Devices should be limited to those that convert motion energy to electric energy or use stored energy to cause motion or produce light or sound.,,,
SC14,Science (2014),Fourth Grade,4-PS4,Waves and Their Applications in Technologies for Information Transfer,4-PS4-1,Develop a model of waves to describe patterns in terms of amplitude and wavelength and that waves can cause objects to move.,,"Clarification Statement: Examples of models could include diagrams, analogies, and physical models using wire to illustrate wavelength and amplitude of waves.",,,
SC14,Science (2014),Fourth Grade,4-PS4,Waves and Their Applications in Technologies for Information Transfer,4-PS4-1,Develop a model of waves to describe patterns in terms of amplitude and wavelength and that waves can cause objects to move.,,"Assessment Boundary: Assessment does not include interference effects, electromagnetic waves, non-periodic waves, or quantitative models of amplitude and wavelength.",,,
SC14,Science (2014),Fourth Grade,4-PS4,Waves and Their Applications in Technologies for Information Transfer,4-PS4-2,Develop a model to describe that light reflecting from objects and entering the eye allows objects to be seen.,,"Assessment Boundary: Assessment does not include knowledge of specific colors reflected and seen, the cellular mechanisms of vision, or how the retina works.",,,
SC14,Science (2014),Fourth Grade,4-PS4,Waves and Their Applications in Technologies for Information Transfer,4-PS4-3,Generate and compare multiple solutions that use patterns to transfer information.,,"Clarification Statement: Examples of solutions could include drums sending coded information through sound waves, using a grid of 1’s and 0’s representing black and white to send information about a picture, and using Morse code to send text.",,,
SC14,Science (2014),Fourth Grade,4-LS1,From Molecules to Organisms: Structures and Processes,4-LS1-1,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction.",,"Clarification Statement: Examples of structures could include thorns, stems, roots, colored petals, heart, stomach, lung, brain, and skin.",,,
SC14,Science (2014),Fourth Grade,4-LS1,From Molecules to Organisms: Structures and Processes,4-LS1-1,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction.",,Assessment Boundary: Assessment is limited to macroscopic structures within plant and animal systems.,,,
SC14,Science (2014),Fourth Grade,4-LS1,From Molecules to Organisms: Structures and Processes,4-LS1-2,"Use a model to describe that animals receive different types of information through their senses, process the information in their brain, and respond to the information in different ways.",,Clarification Statement: Emphasis is on systems of information transfer.,,,
SC14,Science (2014),Fourth Grade,4-LS1,From Molecules to Organisms: Structures and Processes,4-LS1-2,"Use a model to describe that animals receive different types of information through their senses, process the information in their brain, and respond to the information in different ways.",,Assessment Boundary: Assessment does not include the mechanisms by which the brain stores and recalls information or the mechanisms of how sensory receptors function.,,,
SC14,Science (2014),Fourth Grade,4-ESS1,Earth's Place in the Universe,4-ESS1-1,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.,,"Clarification Statement: Examples of evidence from patterns could include rock layers with marine shell fossils above rock layers with plant fossils and no shells, indicating a change from land to water over time; and, a canyon with different rock layers in the walls and a river in the bottom, indicating that over time a river cut through the rock.",,,
SC14,Science (2014),Fourth Grade,4-ESS1,Earth's Place in the Universe,4-ESS1-1,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.,,Assessment Boundary: Assessment does not include specific knowledge of the mechanism of rock formation or memorization of specific rock formations and layers. Assessment is limited to relative time.,,,
SC14,Science (2014),Fourth Grade,4-ESS2,Earth's Systems,4-ESS2-1,"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation.",,"Clarification Statement: Examples of variables to test could include angle of slope in the downhill movement of water, amount of vegetation, speed of wind, relative rate of deposition, cycles of freezing and thawing of water, cycles of heating and cooling, and volume of water flow.",,,
SC14,Science (2014),Fourth Grade,4-ESS2,Earth's Systems,4-ESS2-1,"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation.",,Assessment Boundary: Assessment is limited to a single form of weathering or erosion.,,,
SC14,Science (2014),Fourth Grade,4-ESS2,Earth's Systems,4-ESS2-2,Analyze and interpret data from maps to describe patterns of Earth’s features.,,"Clarification Statement: Maps can include topographic maps of Earth’s land and ocean floor, as well as maps of the locations of mountains, continental boundaries, volcanoes, and earthquakes.",,,
SC14,Science (2014),Fourth Grade,4-ESS3,Earth and Human Activity,4-ESS3-1,Obtain and combine information to describe that energy and fuels are derived from natural resources and their uses affect the environment.,,"Clarification Statement: Examples of renewable energy resources could include wind energy, water behind dams, and sunlight; non-renewable energy resources are fossil fuels and fissile materials. Examples of environmental effects could include loss of habitat due to dams, loss of habitat due to surface mining, and air pollution from burning of fossil fuels.",,,
SC14,Science (2014),Fourth Grade,4-ESS3,Earth and Human Activity,4-ESS3-2,Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.,,Clarification Statement: Examples of solutions could include designing an earthquake resistant building and improving monitoring of volcanic activity.,,,
SC14,Science (2014),Fourth Grade,4-ESS3,Earth and Human Activity,4-ESS3-2,Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.,,"Assessment Boundary: Assessment is limited to earthquakes, floods, tsunamis, and volcanic eruptions.",,,
SC14,Science (2014),Fourth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost.",,,,,
SC14,Science (2014),Fourth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-2,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.,,,,,
SC14,Science (2014),Fourth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-3,Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.,,,,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-1,Develop a model to describe that matter is made of particles too small to be seen.,,"Clarification Statement: Examples of evidence could include adding air to expand a basketball, compressing air in a syringe, dissolving sugar in water, and evaporating salt water.",,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-1,Develop a model to describe that matter is made of particles too small to be seen.,,Assessment Boundary: Assessment does not include the atomic-scale mechanism of evaporation and condensation or defining the unseen particles.,,,
