           ,Subject,Grade Band,             ,Standard,    ,               ,Proficiency Level,      ,       ,        
ELP14,English Language Proficiency,Kindergarten,K.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"communicate simple information or feelings about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"communicate information or feelings about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"tell or dictate simple messages about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"make simple oral presentations, compose short written texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express a feeling or opinion about a familiar topic showing limited control.,,,
ELP14,English Language Proficiency,Kindergarten,K.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,express an opinion or preference about a familiar topic showing emerging control.,,,
ELP14,English Language Proficiency,Kindergarten,K.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,express an opinion or preference about a familiar topic or story showing developing control.,,,
ELP14,English Language Proficiency,Kindergarten,K.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,express an opinion or preference about a variety of topics or stories showing increasing control.,,,
ELP14,English Language Proficiency,Kindergarten,K.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,express an opinion or preference about a variety of topics or stories showing increasing control.,,,
ELP14,English Language Proficiency,Kindergarten,K.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support from adults, recall information from experience or from a provided source.",,,
ELP14,English Language Proficiency,Kindergarten,K.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support from adults, recall information from experience or use information from a provided source to answer a question.",,,
ELP14,English Language Proficiency,Kindergarten,K.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with prompting and support from adults, recall information from experience or use information from provided sources to answer a question showing developing control.",,,
ELP14,English Language Proficiency,Kindergarten,K.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with prompting and support from adults, recall information from experience or use information from provided sources to answer a question showing increasing control.",,,
ELP14,English Language Proficiency,Kindergarten,K.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with prompting and support from adults, recall information from experience or use information from provided sources to answer a question showing increasing control.",,,
ELP14,English Language Proficiency,Kindergarten,K.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, and ELL can . . . ",Level 1,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, and ELL can . . . ",Level 2,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, and ELL can . . . ",Level 3,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, and ELL can . . . ",Level 4,"with prompting and support, identify a reason an author or speaker gives to support a point.",,,
ELP14,English Language Proficiency,Kindergarten,K.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, and ELL can . . . ",Level 5,"with prompting and support, identify appropriate reasons an author or speaker gives to support main points.",,,
ELP14,English Language Proficiency,Kindergarten,K.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,Standard introduced at Level 4.,,,
ELP14,English Language Proficiency,Kindergarten,K.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,show a developing awareness of the difference between appropriate language for the playground and language for the classroom.,,,
ELP14,English Language Proficiency,Kindergarten,K.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"show awareness of differences between informal (&ldquo;playground speech&rdquo;) and language appropriate to the classroom, use some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Kindergarten,K.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support (including context and visual aids), recognize the meaning of a few frequently occurring words in simple oral presentations and read-alouds about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support (including context and visual aids), recognize the meaning of some frequently occurring words and phrases in simple oral presentations and read-alouds about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with prompting and support (including context and visual aids), answer questions to help determine the meaning of some words and phrases in simple oral presentations and read-alouds about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with prompting and support (including context and visual aids), answer and sometimes ask questions about the meaning of words and phrases in simple oral presentations and read-alouds about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with prompting and support (including context and visual aids), answer and ask questions about the meaning of words and phrases in simple oral presentations and read-alouds about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Kindergarten,K.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,Standard introduced at Level 3.,,,
ELP14,English Language Proficiency,Kindergarten,K.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,Standard introduced at Level 3.,,,
ELP14,English Language Proficiency,Kindergarten,K.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including visual aids, context), retell several events from experience or a familiar story with developing control of some frequently occurring linking words (e.g., and, then).",,,
ELP14,English Language Proficiency,Kindergarten,K.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with support (including visual aids, context), retell a simple sequence of events from experience or a familiar story with increasingly independent control of frequently occurring linking words.",,,
ELP14,English Language Proficiency,Kindergarten,K.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with support (including visual aids), retell a short sequence of events from experience or a familiar story, with a beginning, middle, and end using frequently occurring linking words.",,,
ELP14,English Language Proficiency,Kindergarten,K.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids), recognize and use a small number of frequently occurring nouns and verbs, understand and respond to simple questions.",,,
ELP14,English Language Proficiency,Kindergarten,K.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including context and visual aids), recognize and use frequently occurring nouns, verbs, and short phrases, respond to yes/no and wh- questions, produce a few simple sentences in shared language activities.",,,
ELP14,English Language Proficiency,Kindergarten,K.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including context and visual aids), recognize and use frequently occurring regular plural nouns, verbs, and prepositions, use and respond to question words, produce simple sentences in shared language activities. ",,,
ELP14,English Language Proficiency,Kindergarten,K.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with support (context and visual aids), recognize and use frequently occurring regular plural nouns, verbs, and prepositions, use and respond to question words; produce and expand simple sentences in shared language activities.",,,
ELP14,English Language Proficiency,Kindergarten,K.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with increasing independence, use frequently occurring regular plural nouns, verbs, prepositions, and question words, ask and answer interrogatives (wh-questions), produce and expand simple sentences in shared language activities.",,,
ELP14,English Language Proficiency,First Grade,1.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support (including context and visual aids), use a very limited set of strategies to identify a few key words from&nbsp; read-alouds, picture books, and oral presentations.",,,
ELP14,English Language Proficiency,First Grade,1.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"use an emerging set of strategies to identify key words and phrases from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,First Grade,1.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"use a developing set of strategies to identify main topics, answer questions about key details, retell some key details or events from read-aloud texts, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,First Grade,1.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing range of strategies to identify main topics, ask and answer questions about an increasing number of key details, retell familiar stories or episodes of stories from read-alouds, written texts, and oral presentations.",,,
ELP14,English Language Proficiency,First Grade,1.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"use a wide range of strategies to identify main topics, ask and answer questions about key details, retell stories, including key details from read-alouds, written texts, and oral presentations.",,,
ELP14,English Language Proficiency,First Grade,1.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"listen to short conversations,&nbsp; respond to simple yes/no and some wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,First Grade,1.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"participate in short conversations, take turns, respond to simple yes/no and wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,First Grade,1.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"participate in short discussions, conversations, and short written exchanges, follow rules for discussion, ask and answer simple questions about familiar topics.",,,
ELP14,English Language Proficiency,First Grade,1.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"participate in discussions, conversations, and written exchanges, follow rules for discussion, ask and answer questions, respond to the comments of others,&nbsp; make comments of his or her own about a variety of topics and texts.",,,
ELP14,English Language Proficiency,First Grade,1.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"participate in extended discussions, conversations, and written exchanges, follow rules for discussion, ask and answer questions, build on the comments of others, contribute his or her own comments about a variety of topics and texts.",,,
ELP14,English Language Proficiency,First Grade,1.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,communicate simple information or feelings about familiar topics or experiences.,,,
ELP14,English Language Proficiency,First Grade,1.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"communicate simple messages about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"deliver short simple oral presentations, compose short written texts about familiar topics, stories, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using simple sentences and drawings or illustrations, deliver short simple oral presentations, compose written texts about a variety of texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"including a few descriptive details, deliver oral presentations, compose written texts about a variety of texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express a preference or opinion about&nbsp; familiar topics or experiences.,,,
ELP14,English Language Proficiency,First Grade,1.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"express an opinion about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"express an opinion,&nbsp; give a reason for the opinion about&nbsp; familiar stories, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"express opinions, give a reason for the opinion about a variety of texts topics, experiences, and events.",,,
ELP14,English Language Proficiency,First Grade,1.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"express opinions, introduce the topic, give a reason for the opinion, provide a sense of closure about a variety of texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support from adults, participate in shared research projects, gather information, label information from provided sources showing limited control.",,,
ELP14,English Language Proficiency,First Grade,1.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support from adults, participate in shared research projects, gather information, summarize some key information from provided sources showing emerging control.",,,
ELP14,English Language Proficiency,First Grade,1.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with prompting and support from adults, participate in shared research projects, gather information, summarize information from provided sources showing developing control.",,,
ELP14,English Language Proficiency,First Grade,1.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with prompting and support from adults, participate in shared research projects, gather information, summarize information, answer a question from provided sources showing increasingly independent control.",,,
ELP14,English Language Proficiency,First Grade,1.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with prompting and support from adults, participate in shared research projects, gather information, summarize information, answer a question from provided sources showing independent control.",,,
ELP14,English Language Proficiency,First Grade,1.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,Standard introduced at Level 2.,,,
ELP14,English Language Proficiency,First Grade,1.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support, identify a reason an author or a speaker gives to support a point.",,,
ELP14,English Language Proficiency,First Grade,1.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,identify one or two reasons an author or a speaker gives to support the main point.,,,
ELP14,English Language Proficiency,First Grade,1.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,identify reasons an author or a speaker gives to support the main point.,,,
ELP14,English Language Proficiency,First Grade,1.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,identify appropriate reasons an author or a speaker gives to support the main point.,,,
ELP14,English Language Proficiency,First Grade,1.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,Standard introduced at Level 3.,,,
ELP14,English Language Proficiency,First Grade,1.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,Standard introduced at Level 3.,,,
ELP14,English Language Proficiency,First Grade,1.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,show a developing awareness of the difference between appropriate language for the playground and language for the classroom.,,,
ELP14,English Language Proficiency,First Grade,1.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"show awareness of differences between informal &ldquo;playground speech&rdquo; and language appropriate to the classroom, use some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,First Grade,1.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"shift appropriately between informal &ldquo;playground speech&rdquo; and language appropriate to the classroom most of the time, use words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,First Grade,1.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support (including context and visual aids), recognize the meaning of a few frequently occurring words and phrases in simple oral presentations and read-alouds about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support (including context and visual aids), answer and sometimes ask simple questions to help determine the meaning of frequently occurring words and phrases in simple oral presentations and read-alouds about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"using sentence-level context and visual aids, answer and sometimes ask questions to help determine the meaning of some less frequently occurring words and phrases in oral presentations, read-alouds, and simple texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using sentence context, visual aids, and some knowledge of frequently occurring root words and their inflectional forms, answer and ask questions to help determine the meaning of less common words, phrases, and simple idiomatic expressions in oral presentations and written texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,First Grade,1.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"using context, some visual aids, and knowledge of morphology (e.g., simple inflectional endings such as&nbsp;&nbsp;&nbsp;&nbsp; -ed, -ing, and some common prefixes), answer and ask questions to help determine or clarify the meaning of words, phrases, and idiomatic expressions in oral presentations and written texts about a variety of topics, experiences, or events. ",,,
ELP14,English Language Proficiency,First Grade,1.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,Standard introduced at Level 2.,,,
ELP14,English Language Proficiency,First Grade,1.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and modeled sentences), retell an event, present simple information with emerging control of some frequently occurring linking words.",,,
ELP14,English Language Proficiency,First Grade,1.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), retell (in speech or writing) a simple sequence of events in the correct order, present simple information with developing control of some frequently occurring linking words (e.g., and, so) and temporal words (e.g., first, then).",,,
ELP14,English Language Proficiency,First Grade,1.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"recount two or three events in sequence, present simple&nbsp; information about a topic with increasingly independent control of some temporal words (e.g., next, after),and some frequently occurring linking words (and, so).",,,
ELP14,English Language Proficiency,First Grade,1.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"recount a more complex sequence of events in the correct order, introduce a topic, provide some facts about a topic using temporal words to signal event order and using frequently occurring conjunctions (linking words or phrases).",,,
ELP14,English Language Proficiency,First Grade,1.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids), understand and use a small number of frequently occurring nouns and verbs, understand and use very simple sentences, respond to simple questions. ",,,
ELP14,English Language Proficiency,First Grade,1.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and sentences)&nbsp; recognize and use frequently occurring nouns, verbs, prepositions, and conjunctions (e.g., and, but, or), produce simple sentences.",,,
ELP14,English Language Proficiency,First Grade,1.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), use some singular and plural nouns, use verbs in the present and past tenses, use frequently occurring prepositions and conjunctions,&nbsp; produce and expand simple sentences&nbsp; in response to prompts.",,,
ELP14,English Language Proficiency,First Grade,1.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing number of singular and plural nouns, and verbs, use present and past verb tenses with appropriate subject-verb agreement, use frequently occurring prepositions and conjunctions, produce and expand simple and some compound sentences in response to prompts.",,,
ELP14,English Language Proficiency,First Grade,1.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"use singular and plural nouns with matching verbs, use past, present, and future verb tenses, use frequently occurring prepositions and conjunctions, produce and expand simple and compound sentences in response to prompts.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"use a very limited set of strategies to identify a few key words and phrases from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"use an emerging set of strategies to identify some key words and phrases, identify the main topic or message/lesson from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"use a developing set of strategies to identify the main topic or message, answer questions, retell some key details from read-alouds, simple written texts, and oral presentations.",,,
