URL,Curriculum,Lesson,Description
https://www.cs-first.com/clubplan/scratch-music-sound/guru-introduction-and-musical-talent-show,"Google CS First","Music & Sound: Activity 4: Guru Introduction and Musical Talent Show","In this activity, club members will learn more about the CS First Gurus and earn badges by creating a Musical Talent show. A badge is a sticker club members receive for completing different tasks and challenges. Badges are located in the CS First materials."
https://www.cs-first.com/clubplan/scratch-music-sound/dj-mixer,"Google CS First","Music & Sound: Activity 5: DJ Mixer","In this activity, club members will choose a repeating loop of background music, make a slider that speeds up or slows down a sound, and create a keypress event that plays a single note."
https://www.cs-first.com/clubplan/scratch-music-sound/music-video,"Google CS First","Music & Sound: Activity 6: Music Video","In this activity, club members will create a music video using procedures, which are new commands made up of a set of instructions. To define a procedure in Scratch, club members will need to make a new block. They will also choose a song for their video and add a sprite that grows."
https://www.cs-first.com/clubplan/scratch-music-sound/movie-sound-effects-and-music-composition,"Google CS First","Music & Sound: Activity 7: Movie Sound Effects and Music Composition","In this activity, club members will choose to either create a project in which one sprite bounces off another to make a sound or to add to their Activity 6 Music Video Project."
https://www.cs-first.com/clubplan/scratch-music-sound/create-thank-you-project-and-free-time-build,"Google CS First","Music & Sound: Activity 8: Create a Thank You Project and Free Time to Build","In this activity, club members will create a thank you project. They are encouraged to create and ask for help if they need it to complete their vision. This club ends with certificate distribution and a closing reflective discussion."
https://www.cs-first.com/clubplan/gaming-story,"Google CS First","Game Design: Activity 1: Gaming Story","In this first activity, club members learn about the scope and procedures of the club, then create a gaming story in Scratch."
https://www.cs-first.com/clubplan/scratch-game-design/racing-game,"Google CS First","Game Design: Activity 2: Racing Game","During this club, members create a two-player racing game in which players control movement with the keyboard."
https://www.cs-first.com/clubplan/scratch-game-design/maze-game,"Google CS First","Game Design: Activity 3: Maze Game","In this activity, club members create a game in which the player guides a sprite through a maze."
https://www.cs-first.com/clubplan/scratch-game-design/platform-game,"Google CS First","Game Design: Activity 4: Platform Game","In this activity, club members create and learn about platform games. Club members program a player sprite to move and jump across platforms when the arrow keys are pressed. In order to win, the player sprite must make it across all the platforms and touch another sprite."
https://www.cs-first.com/clubplan/scratch-game-design/escape-game,"Google CS First","Game Design: Activity 5: Escape Game","In this activity, club members create an escape game in which a player must avoid other sprites that move randomly. Users increase their score by avoiding these sprites."
https://www.cs-first.com/clubplan/scratch-game-design/launcher-game,"Google CS First","Game Design: Activity 6: Launcher Game","In this activity, club members create a launcher game using key press events, clones, and variables. In this game, a player must launch and navigate a sprite across a screen of bouncing enemies."
https://www.cs-first.com/clubplan/quest-game,"Google CS First","Game Design: Activity 7: Quest Game","In this activity, club members learn how to use storytelling in video game design while building an RPG style Quest Game."
https://www.cs-first.com/clubplan/scratch-game-design/cave-surfing-game,"Google CS First","Game Design: Activity 8: Cave Surfing Game","In Activity 8 of CS First Game Design, club members create a game with a side scrolling background (similar to the popular game Flappy Bird). In this game, the player sprite moves up and down to avoid obstacles. This club ends with certificate distribution and a closing reflective discussion."
