url,standard_code,standard_desc,title,description,length
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L2-12.,Use abstraction to decompose a problem into sub problems.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L2-14.,"Examine connections between elements of mathematics and computer science including binary numbers, logic, sets, and functions.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,NGSS-3-5-ETS1-2.,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-1.,Make sense of problems and persevere in solving them.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-2.,Reason abstractly and quantitatively.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-3.,Construct viable arguments and critique the reasoning of others.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-6.,Attend to precision.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-7.,Look for and make use of structure.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math Practice-8.,Look for and express regularity in repeated reasoning.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math-3.OA.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math-4.NBT.B.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC Math-5.NBT.B.5,Fluently multiply multi-digit whole numbers using the standard algorithm.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-SL.3.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others' ideas and expressing their own clearly.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-SL.3.3,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-SL.4.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others' ideas and expressing their own clearly.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-L.4.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being and that are basic to a particular topic.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CC ELA-L.5.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
