           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH04.CC,Recognize how to keep food safe through proper food preparation and storage practices.  (REC),HE.03.PH04.SM,Demonstrate safe preparation and food storage practices.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH05.CC,Recognize the impact advertising has on food choices.    (REC),HE.03.PH05.INF,Identify how advertising strategies influence our food choices.  (REC),,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM01.CC,Describe pro-social behaviors within healthy relationships.   (REQ),HE.03.PM01.IC,"Demonstrate positive communication skills that express personal needs, wants and feelings to family and peers.  (REQ)",,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM02.CC,Identify qualities that contribute to a healthy self- image.  (REC),HE.03.PM02.SM,Identify characteristic of a healthy self-image.  (REC),,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM03.CC,Identify different kinds of emotions.   (REC),HE.03.PM03.INF,Describe internal and external influences on emotions.  (REC),,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM04.CC,"Identify personal stressors at home, in school, and community.  (REC)",HE.03.PM04.GS,Identify and set a goal to help manage stress.  (REC),,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM05.CC,"Recognize diversity among people, including age, disability national origin, race, color, marital status, and sex, sexual orientation and gender identity.  (REQ)",HE.03.PM05.ADV,Advocate respect for diversity.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM06.CC,Describe differences and similarities in how boys and girls may be expected to act.  (REC),HE.03.PM06.INF,"Provide examples of how friends, family, media, society and culture influence ways youth act based on gender.  (REC)",,
HE12,Health Education (2012),Third Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  336.455 Human Sexuality Education (K-12); HB 4077 Teen Healthy Relationship Act (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-021-0045 Discrimination Prohibited; 581-022-1440 Human Sexuality Education (K-12)",HE.03.PM06.CC,Describe differences and similarities in how boys and girls may be expected to act.  (REC),HE.03.PM06.ADV,Promote a safe and welcoming environment for people of all gender expression.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12)],HE.03.PP01.CC,Give examples of the benefits of physical activity.  (REQ),HE.03.PP01.AI,Identify places where youth and families can be physically active.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12)],HE.03.PP01.CC,Give examples of the benefits of physical activity.  (REQ),HE.03.PP01.INF,Analyze influences that encourage youth to participate in physical activity.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12)],HE.03.PP02.CC,"Identify the health related fitness components; strength, flexibility, cardiovascular and endurance.  (REQ)",HE.03.PP02.SM,Demonstrate each fitness component.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12)],HE.03.PP03.CC,Identify safety equipment needs and procedures for physical activity.  (REQ),HE.03.PP03.SM,Demonstrate the use of safety equipment during physical activity.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12)],HE.03.PP03.CC,Identify safety equipment needs and procedures for physical activity.  (REQ),HE.03.PP03.GS,Set a personal goal to use and wear safety equipment correctly during physical activity.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS01.CC,Identify the physical similarities and differences between males and females.  (REQ),HE.03.PS01.INF,"Provide examples of how friends, family, media, society and culture influence how males and females think they should act.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS02.CC,"Identify body parts, proper anatomical names and stages in the basic growth process.  (REQ)",HE.03.PS02.SM,Use medically accurate anatomical names.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS03.CC,Explain the difference between appropriate touch and inappropriate touch.  (REQ),HE.03.PS03.AI,"Identify parents, and other trusted adults they can tell if they are feeling uncomfortable about being touched.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS03.CC,Explain the difference between appropriate touch and inappropriate touch.  (REQ),HE.03.PS03.SM,"Demonstrate how to clearly say no, how to leave an uncomfortable situation, and how to identify and talk with a trusted adult if someone is touching them in an uncomfortable way.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS03.CC,Explain the difference between appropriate touch and inappropriate touch.  (REQ),HE.03.PS03.IC,Practice and use refusal skills if someone is touching you inappropriately.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS04.CC,Explain why it is important to stay away from potentially unsafe body fluids and objects.  (REQ),HE.03.PS04.AI,"Identify who to report to at home, school and in the community if you see unsafe objects.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS05.CC,Explain why bullying and teasing are inappropriate behavior.  (REQ),HE.03.PS05.AI,Identify parents and other trusted adults they can tell if they are being bullied or teased.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills that emphasize the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.PS05.CC,Explain why bullying and teasing are inappropriate behavior.  (REQ),HE.03.PS05.IC,Demonstrate how to respond if someone is bullying or teasing them.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI01.CC,Identify labels on home and school products that give information about harmful ingredients.  (REQ),HE.03.UI01.AI,Identify danger signs and symbols on products.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI02.CC,Identify ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.03.UI02.SM,Develop a home fire escape plan and practice it during the day and at night with family.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI02.CC,Identify ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.03.UI02.ADV,Encourage family to test fire alarms regularly.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI03.CC,Identify ways to reduce risk of injuries in and around water.  (REQ),HE.03.UI03.SM,Demonstrate water safety behavior.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI03.CC,Identify ways to reduce risk of injuries in and around water.  (REQ),HE.03.UI03.GS,Set a goal for safety in and around water.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI04.CC,Identify safe behaviors when traveling to and from school and in the community.  (REQ),HE.03.UI04.SM,Demonstrate pedestrian and bike safety practices.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI04.CC,Identify safe behaviors when traveling to and from school and in the community.  (REQ),HE.03.UI04.DM,Use a decision making model to plan a safe route to and from school.   (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI05.CC,"Explain the importance of safety at play including wearing helmets, pads and other safety equipment.  (REQ)",HE.03.UI05.SM,Demonstrate the correct use of protective equipment during physical activity.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI05.CC,"Explain the importance of safety at play including wearing helmets, pads and other safety equipment.  (REQ)",HE.03.UI05.GS,Set goals to prevent during sports and physical activity.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI06.CC,"Identify what to do during an emergency and/or natural disaster, including floods, earthquakes.  (REQ)",HE.03.UI06.AI,Demonstrate how to dial 911 and other emergency numbers and provide appropriate information.  (REQ),,
