           ,Subject,Grade,             ,Domain,              ,Cluster Statement,               ,Common Core Standard,                ,      ,       ,        
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.E,Use place value understanding and properties of operations to add and subtract.,2.NBT.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations. (Explanations may be supported by drawings or objects.)",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.F,Measure and estimate lengths in standard units.,2.MD.1,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.F,Measure and estimate lengths in standard units.,2.MD.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.F,Measure and estimate lengths in standard units.,2.MD.3,"Estimate lengths using units of inches, feet, centimeters, and meters.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.F,Measure and estimate lengths in standard units.,2.MD.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.G,Relate addition and subtraction to length.,2.MD.5,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.G,Relate addition and subtraction to length.,2.MD.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.H,Work with time and money.,2.MD.7,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.H,Work with time and money.,2.MD.8,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.I,Represent and interpret data.,2.MD.9,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Measurement and Data (2.MD),2.MD.I,Represent and interpret data.,2.MD.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put together, take-apart, and compare problems using information presented in a bar graph.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Geometry (2.G),2.G.J,Reason with shapes and their attributes.,2.G.1,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. (Sizes are compared directly or visually, not compared by measuring.) Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Geometry (2.G),2.G.J,Reason with shapes and their attributes.,2.G.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Geometry (2.G),2.G.J,Reason with shapes and their attributes.,2.G.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of,  etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Mathematical Practices (3.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,3.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.A,Represent and solve problems involving multiplication and division.,3.OA.1,"Interpret products of whole numbers, e.g., interpret 5 _ 7 as the total number of objects in 5 groups of 7 objects each.",,,,
