           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",a.,"Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",b.,"Support claim(s) with logical reasoning and relevant, accurate data and evidence that demonstrate an understanding of the topic or text, using credible sources.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",c.,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",d.,Establish and maintain a formal style.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",e.,Provide a concluding statement or section that follows from and supports the argument presented.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",6-8.WHST.2,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",a.,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories as appropriate to achieving purpose; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",b.,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",c.,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",d.,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",e.,Establish and maintain a formal style and objective tone.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",f.,Provide a concluding statement or section that follows from and supports the information or explanation presented.,,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",6-8.WHST.3,"Not applicable as a separate requirement.  Students&rsquo; narrative skills continue to grow in these grades. The Standards require that students be able to incorporate narrative elements effectively into arguments and informative/explanatory texts. In history/social studies, students must be able to incorporate narrative accounts into their analyses of individuals or events of historical import. In science and technical subjects, students must be able to write precise enough descriptions of the step-by-step procedures they use in their investigations or technical work that others can replicate them and (possibly) reach the same results.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 4:,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",6-8.WHST.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 5:,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",6-8.WHST.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 6:,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",6-8.WHST.6,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas clearly and efficiently.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 7:,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",6-8.WHST.7,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 8:,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",6-8.WHST.8,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 9:,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",6-8.WHST.9,"Draw evidence from informational texts to support analysis, reflection, and research.",,
LST,Literacy in Science & Technical Subjects,Middle School (6-8),,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Range of Writing,Anchor Standard 10:,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",6-8.WHST.10,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 1:,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,9-10.RST.1,"Cite specific textual evidence to support analysis of science and technical texts, attending to the precise details of explanations or descriptions.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,9-10.RST.2,"Determine the central ideas or conclusions of a text; trace the text’s explanation or depiction of a complex process, phenomenon, or concept; provide an accurate summary of the text.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",9-10.RST.3,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks, attending to special cases or exceptions defined in the text.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",9-10.RST.4,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 9–10 texts and topics.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",9-10.RST.5,"Analyze the structure of the relationships among concepts in a text, including relationships among key terms (e.g., force, friction, reaction force, energy).",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,9-10.RST.6,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, defining the question the author seeks to address.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",9-10.RST.7,"Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart) and translate information expressed visually or mathematically (e.g., in an equation) into words.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",9-10.RST.8,Assess the extent to which the reasoning and evidence in a text support the author’s claim or a recommendation for solving a scientific or technical problem.,,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,9-10.RST.9,"Compare and contrast findings presented in a text to those from other sources (including their own experiments), noting when the findings support or contradict previous explanations or accounts.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,9-10.RST.10,"By the end of grade 10, read and comprehend science/technical texts in the grades 9–10 text complexity band independently and proficiently.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",9-10.WHST.1,Write arguments focused on discipline-specific content.,,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",a.,"Introduce precise claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that establishes clear relationships among the claim(s), counterclaims, reasons, and evidence.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",b.,"Develop claim(s) and counterclaims fairly, supplying data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form and in a manner that anticipates the audience’s knowledge level and concerns.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",c.,"Use words, phrases, and clauses to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",d.,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",e.,Provide a concluding statement or section that follows from or supports the argument presented.,,
