           ,Subject,Grade,Strand,              ,CCG,               ,Benchmark Standard,      ,       ,        
AR,Arts,Eighth Grade,Historical And Cultural Perspectives,,"Understand how the arts can reflect the environment and personal experiences within a society or culture, and apply to one's own work.",AR.08.HC.03,"Explain how works of art from around the world reflect the artist's environment, society and culture.",,,
AR,Arts,Eighth Grade,Historical And Cultural Perspectives,,"Understand the place of the arts within, and their influences on, society.",AR.08.HC.04,"Explain how the arts serve a variety of purposes, needs and values in different communities and cultures.",,,
AR,Arts,Eighth Grade,Historical And Cultural Perspectives,,"Understand the place of the arts within, and their influences on, society.",AR.08.HC.05,"Explain the influence of the arts on individuals, communities and cultures in various time periods.",,,
AR,Arts,High School,"Create, Present, And Perform",,"Create, present and perform works of art.",AR.HS.CP.01,"Select and combine essential elements and organizational principles to achieve a desired effect when creating, presenting and/or performing works of art for a variety of purposes.",,,
AR,Arts,High School,"Create, Present, And Perform",,"Apply the use of ideas, techniques and problem solving to the creative process and analyze the influence that choices have on the result.",AR.HS.CP.02,"Explain the choices made in the creative process when combining ideas, techniques, and problem solving to produce one's work, and identify the impact that different choices might have made.",,,
AR,Arts,High School,"Create, Present, And Perform",,"Express ideas, moods and feelings through the arts and evaluate how well a work of art expresses one’s intent.",AR.HS.CP.03,"Create, present and/or perform a work of art by controlling essential elements and organizational principles and describe how well the work expresses an intended idea, mood or feeling.",,,
AR,Arts,High School,"Create, Present, And Perform",,"Evaluate one's own work, orally and in writing.",AR.HS.CP.04,"Critique the artistic merit of one's own work using aesthetic criteria, orally and in writing.",,,
AR,Arts,High School,Aesthetics And Criticism,,Apply critical analysis to works of art.,AR.HS.AC.01,"Use knowledge of essential elements, organizational principles and aesthetic criteria to explain the artistic merit and aesthetic effect of a work of art.",,,
AR,Arts,High School,Aesthetics And Criticism,,Respond to works of art and give reasons for preferences.,AR.HS.AC.02,Explain personal preferences for works of art based on an analysis of how the essential elements and organizational principles contribute to the work's artistic merit.,,,
AR,Arts,High School,Aesthetics And Criticism,,Understand the interrelationships among art forms.,AR.HS.AC.03,"Explain the roles of essential elements and organizational principles from various arts disciplines in an integrated work of art and identify how they contribute to the aesthetic effect, overall idea and impact of the work.",,,
AR,Arts,High School,Historical And Cultural Perspectives,,Understand how events and conditions influence the arts.,AR.HS.HC.01,Explain the influence of events and conditions on an artist's work.,,,
AR,Arts,High School,Historical And Cultural Perspectives,,"Distinguish works of art from different societies, time periods and cultures.",AR.HS.HC.02,"Describe and distinguish works of art from different societies, time periods, and cultures, emphasizing their common and unique characteristics.",,,
AR,Arts,High School,Historical And Cultural Perspectives,,"Understand how the arts can reflect the environment and personal experiences within a society or culture, and apply to one's own work.",AR.HS.HC.03,"Explain how works of art reflect the artist's personal experience, environment, society and culture and apply this knowledge to one's own work.",,,
AR,Arts,High School,Historical And Cultural Perspectives,,"Understand the place of the arts within, and their influences on, society.",AR.HS.HC.04,"Explain the connections among the arts, career opportunities, and quality of life in the context of personal, practical, community and cultural needs.",,,
AR,Arts,High School,Historical And Cultural Perspectives,,"Understand the place of the arts within, and their influences on, society.",AR.HS.HC.05,"Explain the influence of the arts on human behavior, community life and cultural traditions.",,,
