           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,c.,Blend and segment onsets and rimes of single-syllable spoken words.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,d.,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,e.,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,K.RF.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,a.,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,b.,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,c.,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,d.,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Fluency,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,K.RF.4,Read emergent-reader texts with purpose and understanding.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",K.W.1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is . . .).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",K.W.2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",K.W.3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 4:,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",K.W.4,(Begins in grade 3),,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 5:,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",K.W.5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 6:,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",K.W.6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 7:,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",K.W.7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 8:,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",K.W.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 9:,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",K.W.9,(Begins in grade 4),,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Range of Writing,Anchor Standard 10:,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",K.W.10,(Begins in grade 3),,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",K.SL.1,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",a.,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",b.,Continue a conversation through multiple exchanges.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 2:,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",K.SL.2,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 3:,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",K.SL.3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 4:,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",K.SL.4,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 5:,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,K.SL.5,Add drawings or other visual displays to descriptions as desired to provide additional detail.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 6:,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",K.SL.6,"Speak audibly and express thoughts, feelings, and ideas clearly.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,K.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,a.,Print many upper- and lowercase letters.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,b.,Use frequently occurring nouns and verbs.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,c.,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,d.,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",,
